,ID,Title,Year,Rating,Votes,Length,Genres
5566,TT0068931,The Mechanic (1972),1972,6.8,4025,100 mins.,Action|Crime|Thriller
5567,TT1668191,Hunting Season (2010),2010,7.4,4022,140 mins.,Crime|Drama|Mystery|Thriller
5568,TT1316536,The Loved Ones (2009),2009,6.8,4021,84 mins.,Drama|Horror|Thriller
5569,TT1085779,The Hole (2009),2009,5.9,4019,92 mins.,Adventure|Fantasy|Thriller
5570,TT0243931,Good Advice (2001),2001,6.1,4018,93 mins.,Comedy|Romance
5571,TT0420015,Nine Lives (2005),2005,6.9,4018,115 mins.,Drama
5572,TT1093370,Jab We Met (2007),2007,7.7,4016,138 mins.,Comedy|Romance
5573,TT0078111,PreTTy Baby (1978),1978,6.6,4014,110 mins.,Drama|History
5574,TT1020055,Night Train (2009),2009,5.8,4011,83 mins.,Action|Crime|Mystery|Thriller
5575,TT0060438,A Funny Thing Happened on the Way to the Forum (1966),1966,6.9,4064,99 mins.,Comedy|Musical
5576,TT0100740,Tales from the Darkside: The Movie (1990),1990,5.7,4063,93 mins.,Comedy|Fantasy|Horror|Thriller
5577,TT0066078,Michael the Brave (1971),1971,8.2,4062,00 mins.,Action|Biography|Drama|History|War
5578,TT0317132,Because of Winn-Dixie (2005),2005,6.1,4062,106 mins.,Comedy|Drama|Family
5579,TT0097044,Chances Are (1989),1989,6.2,4060,108 mins.,Comedy|Fantasy|Romance
5580,TT0082427,The Funhouse (1981),1981,5.7,4059,96 mins.,Horror
5581,TT1111948,Soul Men (2008),2008,6.4,4050,100 mins.,Comedy|Drama|Music
5582,TT1588337,Of Gods and Men (2010),2010,7.3,4048,122 mins.,Drama|History
5583,TT0105165,Prelude to a Kiss (1992),1992,5.4,4046,105 mins.,Comedy|Fantasy|Romance
5584,TT0047811,All That Heaven Allows (1955),1955,7.6,4041,89 mins.,Drama|Romance
5585,TT0246692,Old Men in New Cars: In China They Eat Dogs II (2002),2002,6.7,4037,95 mins.,Action|Comedy
5586,TT0060268,Cul-de-sac (1966),1966,7.2,4035,113 mins.,Comedy|Drama|Thriller
5587,TT0101984,Guilty by Suspicion (1991),1991,6.4,4031,105 mins.,Drama|Thriller
5588,TT0762110,Irina Palm (2007),2007,7.2,4029,103 mins.,Drama
5589,TT0218864,Buying the Cow (2002),2002,5.8,4028,88 mins.,Comedy|Romance
5590,TT0117768,The Stupids (1996),1996,3.8,4026,94 mins.,Comedy|Adventure
5591,TT0131566,Rogue Trader (1999),1999,6.0,4022,101 mins.,Crime|Drama|History|Thriller
5592,TT0323120,Loving Annabelle (2006),2006,6.7,4021,76 mins.,Drama|Romance
5593,TT0434008,Election (2005),2005,7.0,4020,100 mins.,Crime|Drama|Thriller
5594,TT1220628,I Hope They Serve Beer in Hell (2009),2009,5.1,4019,105 mins.,Comedy
5595,TT1001562,Witless Protection (2008),2008,2.8,4018,97 mins.,Comedy|Crime
5596,TT0054189,Purple Noon (1960),1960,7.8,4016,118 mins.,Crime|Thriller|Drama
5597,TT0255067,La comunidad (2000),2000,7.2,4014,110 mins.,Comedy|Crime|Mystery|Sci-Fi|Thriller
5598,TT0076504,Orca (1977),1977,5.0,4012,92 mins.,Thriller|Drama|Horror
5599,TT0116684,Jane Eyre (1996),1996,6.6,4008,112 mins.,Drama|Romance
5600,TT0068612,Fritz the Cat (1972),1972,6.0,4004,78 mins.,Animation|Comedy
5601,TT1183276,The Horde (2009),2009,5.9,4004,90 mins.,Action|Horror|Thriller
5602,TT0093978,Sien nui yau wan (1987),1987,7.4,4000,98 mins.,Action|Comedy|Fantasy|Romance|Thriller
5603,TT0112368,Angus (1995),1995,6.3,3996,90 mins.,Comedy|Drama
5604,TT0119792,Nil by Mouth (1997),1997,7.3,3992,128 mins.,Drama
5605,TT0111112,The Secret of Roan Inish (1994),1994,7.3,3989,103 mins.,Drama|Family|Fantasy
5606,TT0119879,Perdita Durango (1997),1997,6.2,3989,126 mins.,Action|Crime|Drama|Romance
5607,TT0116151,Dunston Checks In (1996),1996,4.6,3981,88 mins.,Comedy|Adventure|Family
5608,TT1567448,Yahsi bati (2010),2010,6.8,3978,112 mins.,Comedy|Western
5609,TT0104073,Deep Cover (1992),1992,6.7,3974,107 mins.,Action|Crime|Thriller
5610,TT0307213,Nabbeun namja (2001),2001,6.8,3969,100 mins.,Drama
5611,TT0428579,Suburban Girl (2007),2007,5.6,3964,97 mins.,Comedy|Drama|Romance
5612,TT1179025,The Extraordinary Adventures of Ad\xe8le Blanc-Sec (2010),2010,6.1,3963,107 mins.,Action|Adventure|Fantasy|Mystery
5613,TT0068334,The Candidate (1972),1972,7.1,3960,110 mins.,Drama
5614,TT0844457,North Face (2008),2008,7.3,3958,126 mins.,Adventure|Drama|History|Sport
5615,TT0780567,Imagine That (2009),2009,5.4,3957,107 mins.,Comedy|Drama|Family|Fantasy
5616,TT0417385,Twelve and Holding (2005),2005,7.6,3954,94 mins.,Drama
5617,TT0120706,The General (1998),1998,7.2,3953,124 mins.,Biography|Crime|Drama|Thriller
5618,TT0164085,Limbo (1999),1999,7.0,3952,126 mins.,Adventure|Drama|Thriller
5619,TT0097626,Johnny Handsome (1989),1989,5.9,3948,94 mins.,Crime|Drama|Thriller
5620,TT0114885,Waiting to Exhale (1995),1995,5.0,3946,127 mins.,Comedy|Drama|Romance
5621,TT0271219,Tadpole (2002),2002,6.2,3942,78 mins.,Comedy|Drama|Romance
5622,TT0457275,Altered (2006),2006,5.8,3937,88 mins.,Horror|Sci-Fi|Thriller
5623,TT0374584,Control (2004),2004,6.2,3936,00 mins.,Crime|Sci-Fi|Thriller
5624,TT1038043,Mammoth (2009),2009,6.9,3935,125 mins.,Drama
5625,TT0101545,Career Opportunities (1991),1991,5.5,4004,83 mins.,Comedy|Romance
5626,TT0250720,See Spot Run (2001),2001,4.9,4002,94 mins.,Action|Comedy|Crime|Family
5627,TT0808339,The Heir Apparent: Largo Winch (2008),2008,6.4,4000,108 mins.,Adventure|Thriller
5628,TT0491152,Something Borrowed (2011),2011,5.5,3995,112 mins.,Comedy|Drama|Romance
5629,TT1274295,Kaminey: The Scoundrels (2009),2009,7.5,3991,130 mins.,Action|Comedy|Crime|Drama|Thriller
5630,TT0352994,Walk on Water (2004),2004,7.4,3989,103 mins.,Drama|Mystery|Thriller
5631,TT0360323,10th & Wolf (2006),2006,6.3,3983,107 mins.,Crime|Drama|Mystery|Thriller
5632,TT0067893,Two-Lane Blacktop (1971),1971,7.3,3980,102 mins.,Drama
5633,TT0112757,The Cure (1995),1995,7.5,3976,97 mins.,Drama
5634,TT0104670,Ladybugs (1992),1992,4.6,3974,90 mins.,Comedy|Sport
5635,TT0420757,Man About Town (2006),2006,5.7,3965,96 mins.,Comedy|Drama
5636,TT0088083,Sexmission (1984),1984,7.8,3963,120 mins.,Adventure|Comedy|Sci-Fi
5637,TT0093509,Matewan (1987),1987,7.8,3960,135 mins.,Drama|History
5638,TT0107840,Poetic Justice (1993),1993,5.2,3960,109 mins.,Drama|Romance
5639,TT0061770,Hombre (1967),1967,7.3,3957,111 mins.,Action|Drama|Western
